city,state,latitude,longitude
PORT HEIDEN,AK,56.964901,-158.587385
PORT LIONS,AK,57.867012,-152.856248
PORT PROTECTION,AK,56.331881,-133.60642
PORTAGE CREEK,AK,58.90542,-157.669817
PRIMROSE,AK,60.341624,-149.296448
PRUDHOE BAY,AK,70.365858,-148.749804
QUINHAGAK,AK,59.751279,-161.897243
RAMPART,AK,65.404915,-149.921015
RED DEVIL,AK,61.757528,-157.358428
RED DOG MINE,AK,68.046903,-162.872123
RIDGEWAY,AK,60.530833,-151.052101
RUBY,AK,64.72329,-155.50054
RUSSIAN MISSION,AK,61.78517,-161.367292
SALAMATOF,AK,60.604229,-151.311311
SALCHA,AK,64.534103,-146.88362
SAND POINT,AK,55.31347,-160.484344
SAVOONGA,AK,63.679706,-170.483324
SAXMAN,AK,55.323145,-131.589165
SCAMMON BAY,AK,61.841792,-165.583242
SELAWIK,AK,66.602596,-159.998857
SELDOVIA,AK,59.43948,-151.710387
SELDOVIA VILLAGE,AK,59.46127,-151.588755
SEWARD,AK,60.124786,-149.391581
SHAGELUK,AK,62.676038,-159.561841
SHAKTOOLIK,AK,64.356255,-161.19622
SHISHMAREF,AK,66.238004,-166.110882
SHUNGNAK,AK,66.885093,-157.174634
SILVER SPRINGS,AK,62.019171,-145.358049
SITKA CITY AND,AK,57.193204,-135.367396
SKAGWAY,AK,59.464464,-135.275743
SKWENTNA,AK,61.888689,-151.199994
SLANA,AK,62.602416,-143.451863
SLEETMUTE,AK,61.654462,-157.10249
SOLDOTNA,AK,60.485316,-151.069016
SOUTH LAKES,AK,61.587561,-149.315544
SOUTH NAKNEK,AK,58.662786,-156.984077
SOUTH VAN HORN,AK,64.809726,-147.787779
ST. GEORGE,AK,56.577293,-169.629241
ST. MARY'S,AK,62.062771,-163.244241
ST. MICHAEL,AK,63.458621,-162.133868
ST. PAUL,AK,57.178261,-170.323608
STEBBINS,AK,63.473358,-162.259966
STEELE CREEK,AK,64.925613,-147.435058
STERLING,AK,60.539054,-150.812261
STEVENS VILLAGE,AK,66.02432,-149.077801
STONY RIVER,AK,61.792749,-156.590554
SUNRISE,AK,60.869131,-149.471513
SUSITNA,AK,61.54028,-150.587941
SUSITNA NORTH,AK,62.147592,-149.748537
SUTTON-ALPINE,AK,61.741436,-148.874181
TAKOTNA,AK,62.986854,-156.043156
TALKEETNA,AK,62.309515,-149.923928
TANACROSS,AK,63.328691,-143.486599
TANAINA,AK,61.657162,-149.428191
TANANA,AK,65.184004,-152.055102
TATITLEK,AK,60.893664,-146.670136
TAZLINA,AK,62.058276,-145.463967
TELLER,AK,65.252511,-166.352331
TENAKEE SPRINGS,AK,57.790054,-135.135446
TETLIN,AK,63.181757,-142.504462
THORNE BAY,AK,55.667027,-132.535653
TOGIAK,AK,59.052942,-160.396855
TOK,AK,63.329324,-143.037804
TOKSOOK BAY,AK,60.528597,-165.105638
TOLSONA,AK,62.068937,-146.122927
TONSINA,AK,61.530897,-145.110871
TRAPPER CREEK,AK,62.415367,-150.407844
TULUKSAK,AK,61.104415,-160.938363
TUNTUTULIAK,AK,60.410291,-162.669391
TUNUNAK,AK,60.607381,-165.126867
TWIN HILLS,AK,59.084935,-160.276645
TWO RIVERS,AK,64.890845,-147.089884
TYONEK,AK,61.099425,-151.338909
UGASHIK,AK,57.646883,-156.99619
UNALAKLEET,AK,63.892966,-160.795819
UNALASKA,AK,53.910231,-166.529059
UPPER KALSKAG,AK,61.538699,-160.350216
UTQIAĠVIK,AK,71.264377,-156.753678
VALDEZ,AK,61.081318,-146.3049
VENETIE,AK,67.020691,-146.374276
WAINWRIGHT,AK,70.648948,-159.945903
WALES,AK,65.613247,-168.068257
WASILLA,AK,61.581136,-149.46079
WHALE PASS,AK,56.082115,-133.067469
WHITE MOUNTAIN,AK,64.682353,-163.413694
WHITESTONE,AK,64.152633,-145.905841
WHITESTONE LOGGING CAMP,AK,58.058337,-135.409332
WHITTIER,AK,60.777288,-148.663841
WILLOW,AK,61.886955,-149.620241
WILLOW CREEK,AK,61.826787,-145.184607
WISEMAN,AK,67.481477,-150.158608
WOMENS BAY,AK,57.688637,-152.677213
WRANGELL CITY AND,AK,56.180779,-132.026788
YAKUTAT,AK,59.563588,-139.606191
ABANDA,AL,33.091627,-85.527029
ABBEVILLE,AL,31.565164,-85.259165
ADAMSVILLE,AL,33.602315,-86.971527
ADDISON,AL,34.202681,-87.178004
AKRON,AL,32.879066,-87.740899
ALABASTER,AL,33.214355,-86.82308
ALBERTVILLE,AL,34.26313,-86.21066
ALEXANDER CITY,AL,32.916719,-85.940589
ALEXANDRIA,AL,33.760819,-85.872008
ALICEVILLE,AL,33.123706,-88.159344
ALLGOOD,AL,33.907623,-86.516109
ALTOONA,AL,34.040014,-86.305179
ANDALUSIA,AL,31.309436,-86.478031
ANDERSON,AL,34.915675,-87.274274
ANNISTON,AL,33.673469,-85.810891
ARAB,AL,34.332387,-86.501167
ARDMORE,AL,34.987838,-86.829022
ARGO,AL,33.697861,-86.50576
ARITON,AL,31.597772,-85.713061
ARLEY,AL,34.076234,-87.217831
ASHFORD,AL,31.185284,-85.236236
ASHLAND,AL,33.269892,-85.833706
ASHVILLE,AL,33.835197,-86.270015
ATHENS,AL,34.779021,-86.950799
ATMORE,AL,31.124067,-87.457798
ATTALLA,AL,33.986189,-86.121037
AUBURN,AL,32.607122,-85.490959
AUTAUGAVILLE,AL,32.432563,-86.658752
AVON,AL,31.179727,-85.279211
AXIS,AL,30.922171,-88.02262
BABBIE,AL,31.302083,-86.319437
BAILEYTON,AL,34.260858,-86.608788
BAKERHILL,AL,31.776923,-85.295408
BALLPLAY,AL,34.023047,-85.801478
BANKS,AL,31.813264,-85.836434
BAY MINETTE,AL,30.890265,-87.792759
BAYOU LA BATRE,AL,30.407586,-88.263271
BEAR CREEK,AL,34.255481,-87.713399
BEATRICE,AL,31.733309,-87.209046
BEAVERTON,AL,33.935411,-88.021778
BELGREEN,AL,34.47454,-87.861678
BELK,AL,33.651641,-87.92861
BELLAMY,AL,32.463658,-88.131481
BELLE FONTAINE,AL,30.489493,-88.105939
BENTON,AL,32.307931,-86.817546
BERLIN,AL,34.185005,-86.748955
BERRY,AL,33.666702,-87.609311
BESSEMER,AL,33.370858,-86.971522
BILLINGSLEY,AL,32.664711,-86.706713
BIRMINGHAM,AL,33.527174,-86.797036
BLACK,AL,31.00977,-85.74442
BLOUNTSVILLE,AL,34.075838,-86.583918
BLUE RIDGE,AL,32.4989,-86.182436
BLUE SPRINGS,AL,31.663516,-85.503526
BOAZ,AL,34.19902,-86.155151
BOLIGEE,AL,32.768081,-88.02859
BON AIR,AL,33.259355,-86.327175
BON SECOUR,AL,30.318246,-87.72439
BOYKIN,AL,32.068375,-87.294343
BRANTLEY,AL,31.581992,-86.256784
BRANTLEYVILLE,AL,33.219303,-86.882522
BRENT,AL,32.944893,-87.172088
